,1_sorry_end,2_ignore_diff,3_begin_correct,4_contact,5_special_time,6_no_home_time,7_2_strangers,8_enjoy_holiday,9_enjoy_travel,10_common_goals,11_harmony,12_freeom_value,13_entertain,14_people_goals,15_dreams,16_love,17_happy,18_marriage,19_roles,20_trust,21_likes,22_care_sick,23_fav_food,24_stresses,25_inner_world,26_anxieties,27_current_stress,28_hopes_wishes,29_know_well,30_friends_social,31_aggro_argue,32_always_never,33_negative_personality,34_offensive_expressions,35_insult,36_humiliate,37_not_calm,38_hate_subjects,39_sudden_discussion,40_idk_what's_going_on,41_calm_breaks,42_argue_then_leave,43_silent_for_calm,44_good_to_leave_home,45_silence_instead_of_discussion,46_silence_for_harm,47_silence_fear_anger,48_i'm_right,49_accusations,50_i'm_not_guilty,51_i'm_not_wrong,52_no_hesitancy_inadequate,53_you're_inadequate,54_incompetence,55_divorce_y_n
2163,3,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,3,2,1,3,1,1,2,2,2,4,1,3,2,2,3,2,2,1,0
2164,3,4,3,3,3,1,1,4,4,3,4,4,3,4,4,3,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,3,3,1
2165,2,3,2,1,2,1,1,3,2,3,3,3,3,3,2,2,2,3,2,3,2,2,3,3,3,3,1,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,4,3,4,4,3,3,4,4,4,3,3,3,1
2166,2,1,2,1,2,2,3,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,3,3,1,2,1,2,1,2,3,2,1,2,1,3,3,3,3,2,0
2167,4,4,4,4,4,2,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,1
2168,3,3,4,2,3,2,2,2,3,3,4,3,4,2,3,3,3,3,2,4,3,2,3,2,3,3,3,2,2,3,2,4,3,3,3,3,4,3,4,4,3,2,2,3,2,2,2,3,3,4,3,4,3,3,1
2169,3,2,3,3,3,2,2,3,3,3,3,3,2,3,3,4,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,3,3,3,2,3,4,3,3,4,3,4,4,2,2,3,3,3,4,4,3,3,3,2,1
2170,2,2,3,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,3,2,2,1,2,3,2,3,2,2,3,3,3,2,3,1,2,2,3,2,3,2,2,2,2,3,2,0
2171,4,4,3,4,3,2,2,2,3,3,3,2,3,3,3,3,4,3,4,3,2,3,4,3,3,3,2,3,3,3,4,3,3,4,4,4,3,4,3,4,3,3,4,3,3,4,4,2,3,3,2,2,2,2,1
2172,1,2,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,2,2,1,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,2,3,1,2,2,3,2,1,0
2173,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,3,2,3,2,2,3,2,1,2,1,1,1,0
2174,3,3,3,1,3,2,1,2,1,2,3,2,3,3,1,2,2,2,2,3,2,2,4,2,2,2,2,1,2,3,4,1,3,1,3,2,3,2,2,2,2,3,4,2,2,3,3,3,3,2,1,3,2,2,0
2175,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,4,1,3,2,2,2,3,2,2,3,1,3,1,0
2176,3,3,3,4,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,3,2,2,3,2,2,2,1,2,2,3,3,2,3,2,3,2,2,3,3,3,3,3,4,3,3,2,3,3,4,3,3,2,2,2,0
2177,1,2,1,1,2,2,1,2,3,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,3,2,3,2,3,2,3,2,3,3,4,3,3,1,3,4,3,3,2,3,3,3,0
2178,1,1,2,1,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,3,2,1,1,1,2,2,1,1,2,1,1,1
2179,2,2,3,2,1,1,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,2,2,1,1,1,1,0
2180,2,2,2,2,1,1,2,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,3,2,2,2,1,2,2,1,2,2,1,3,2,2,3,1,1,1,0
2181,2,1,2,2,2,2,1,2,1,3,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,3,2,1,1,1,2,1,3,1,2,3,3,3,3,3,3,2,1,1,2,3,3,1,1
2182,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,0
2183,4,3,4,3,4,1,2,3,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,3,2,4,2,3,3,3,4,4,4,4,4,3,4,1
2184,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,2,2,3,2,3,3,3,2,3,3,2,3,3,3,0
2185,3,3,3,3,4,2,1,3,2,2,3,3,2,3,2,2,2,2,3,3,3,3,4,2,3,2,3,3,4,3,3,4,4,4,4,3,3,3,4,2,3,4,2,2,3,3,4,3,4,4,4,4,4,4,1
2186,2,3,4,3,3,1,2,3,3,4,3,4,2,4,3,4,3,4,3,4,3,2,2,4,3,4,3,3,2,4,2,2,2,2,2,2,3,3,3,3,2,3,2,2,2,3,1,3,2,3,2,3,3,2,1
2187,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,3,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,3,2,3,3,3,2,3,2,2,2,2,2,0
2188,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,3,1,2,1,1,1,2,2,1,0
2189,3,3,2,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,3,3,4,2,3,2,2,3,3,2,3,2,2,3,3,2,2,1
2190,3,2,4,2,2,1,1,2,2,2,3,3,2,2,3,3,3,3,3,2,3,2,3,4,3,3,3,3,3,3,4,2,4,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,2,3,3,4,1
2191,3,2,2,2,2,1,1,1,1,1,3,1,2,2,1,1,2,2,2,2,2,2,4,2,2,1,1,2,3,2,4,3,2,2,3,2,3,2,2,4,2,2,3,2,2,3,2,3,3,1,1,2,3,2,0
2192,2,2,3,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,3,2,1,1,2,1,2,2,1,1,3,2,3,2,2,2,2,2,3,3,4,2,4,4,3,3,2,3,2,4,4,3,0
2193,1,2,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,3,3,3,1,1,2,3,3,1,0
2194,4,3,4,3,3,1,2,2,2,3,3,2,2,3,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,2,4,3,3,3,3,2,2,2,3,3,4,3,4,4,3,3,2,1,1
2195,2,4,2,2,3,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,2,3,3,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
2196,3,4,4,3,3,1,1,4,4,4,4,4,2,4,4,3,4,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,1
2197,3,2,3,4,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,3,4,2,3,2,3,3,3,2,2,2,1,2,0
2198,3,3,3,2,3,1,1,3,2,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,2,3,3,3,3,3,3,2,3,3,3,3,4,4,3,3,3,4,4,3,3,3,2,3,1
2199,4,3,2,4,2,1,1,2,2,3,2,2,2,2,2,2,3,1,3,2,2,3,4,2,4,2,2,3,4,3,4,3,3,3,4,4,3,3,2,3,3,3,3,2,3,3,4,3,4,4,2,4,2,2,0
2200,2,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,0
2201,3,4,4,3,4,1,2,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,3,2,1
2202,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,3,2,1,2,1,1,2,2,2,0
2203,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,3,2,1,0
2204,3,2,1,1,3,2,1,3,2,2,3,2,3,2,3,2,3,2,3,2,2,1,3,2,3,2,2,1,2,2,2,2,3,2,1,2,3,3,3,2,3,4,3,2,3,2,4,3,4,4,4,2,2,2,1
2205,2,2,3,3,3,1,1,1,2,2,1,1,2,1,1,3,2,3,2,2,1,2,3,2,2,1,1,2,1,1,2,3,3,3,3,2,3,2,2,3,2,2,3,2,2,3,4,3,3,3,3,4,3,2,0
2206,2,1,2,2,3,2,2,2,2,3,3,3,3,2,2,3,3,2,3,3,2,2,2,1,2,2,2,2,2,2,3,3,2,2,1,2,3,2,3,2,3,2,2,3,4,3,3,1,3,3,3,3,2,3,1
2207,3,3,4,2,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,2,3,3,3,3,2,3,4,3,2,3,3,4,3,3,4,2,3,3,2,1,2,2,4,3,2,2,4,3,3,1
2208,2,2,2,1,3,1,2,2,3,2,2,2,3,2,3,2,3,3,3,2,2,1,2,2,3,2,2,1,2,2,3,3,2,2,2,2,3,3,2,4,2,3,4,2,4,3,2,2,3,3,2,3,3,3,1
2209,2,2,1,2,2,2,2,2,2,2,3,1,2,2,1,3,1,1,2,2,2,3,3,1,2,2,2,2,2,2,4,2,3,3,2,2,3,3,2,3,2,3,2,2,2,3,3,3,3,2,3,2,3,3,0
2210,2,1,2,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,3,2,2,2,2,2,2,1,1,1,0
2211,4,4,4,3,4,2,2,3,3,3,4,3,4,3,3,3,4,3,4,4,4,3,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1
2212,1,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,1,2,1,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,4,1,4,3,2,2,3,3,2,3,2,1,0
2213,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,0
2214,3,4,3,3,3,2,2,2,3,3,2,2,2,2,3,3,2,3,3,3,2,2,3,2,2,2,2,2,2,2,4,4,3,4,3,4,4,3,3,4,2,4,3,3,2,1,2,4,3,3,3,3,3,2,1
2215,3,2,2,2,3,1,2,2,3,2,3,1,3,2,2,2,3,2,3,2,2,2,3,3,3,3,3,2,3,3,4,3,4,4,4,3,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,3,4,1
2216,1,1,1,1,2,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,1,3,2,2,0
2217,3,2,2,3,3,1,1,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,3,2,4,2,3,3,3,2,2,3,3,3,3,4,3,3,4,4,4,4,3,3,2,1
2218,3,2,3,2,2,3,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,3,1,1,2,1,4,3,3,1,1,1,1,1,1,1,0
2219,3,1,1,2,2,1,2,2,2,1,2,2,2,1,3,1,3,2,3,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,1,1,1,2,2,3,2,1,2,3,1,3,2,2,1,1,1,1,2,2,1
2220,1,2,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,2,1,1,2,1,3,2,1,2,2,2,2,0
2221,3,3,3,4,2,2,1,2,2,3,2,3,1,3,2,3,1,3,2,3,1,2,2,2,1,2,1,2,1,3,2,4,2,3,2,2,3,3,2,3,2,3,2,2,3,2,2,3,2,2,3,2,2,2,0
2222,2,1,3,2,3,2,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,2,1,3,2,2,3,1,1,1,2,2,1,0
2223,3,3,2,2,3,2,1,4,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,2,4,3,3,3,3,4,1
2224,1,2,4,1,2,1,1,1,1,1,2,1,1,2,2,1,2,2,2,1,2,1,3,2,2,1,2,1,2,1,2,3,1,2,1,1,2,2,1,3,2,3,3,2,3,4,3,3,3,4,3,3,3,2,0
2225,4,3,3,2,3,1,2,2,2,1,3,2,3,2,1,1,3,3,3,2,2,1,3,3,3,2,1,2,3,3,2,3,2,2,4,4,3,3,3,4,3,1,2,2,3,3,2,3,4,4,3,4,4,3,1
2226,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,3,2,3,3,2,3,2,1,2,2,2,2,0
2227,3,2,3,3,2,2,2,2,2,3,2,3,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,2,3,3,4,3,3,2,3,4,2,3,3,3,1,3,3,2,3,3,4,3,3,3,4,2,2,1
2228,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,0
2229,3,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,1,2,3,2,2,1,2,2,2,2,3,2,3,3,2,2,3,3,3,3,2,2,3,2,3,3,3,1,2,2,2,2,2,1
2230,3,3,2,3,3,1,1,3,3,4,3,4,4,3,3,3,4,3,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
2231,1,2,1,1,2,2,1,2,2,1,1,2,3,2,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,3,2,2,2,3,2,3,2,2,3,3,3,2,0
2232,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,0
2233,2,1,1,2,3,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,3,2,2,2,3,2,4,3,4,3,4,3,3,3,3,2,4,4,2,3,4,4,4,3,4,3,3,4,4,3,1
2234,1,3,3,2,2,2,1,3,3,3,2,3,2,2,3,3,2,3,2,3,3,2,2,2,2,2,2,3,2,2,4,4,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,2,2,3,1,4,4,4,1
2235,1,2,2,1,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,3,2,2,3,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,3,1,1,2,2,1,3,3,1,0
2236,3,3,2,3,2,1,1,2,3,3,4,2,3,3,3,3,3,2,3,2,2,2,3,2,3,2,1,3,3,2,2,4,4,4,4,3,4,4,4,4,4,3,4,3,3,3,3,3,2,3,2,3,3,3,1
2237,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,2,2,3,1,4,1,3,1,2,1,3,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,0
2238,3,2,3,4,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,3,2,1,2,2,2,2,2,2,2,3,3,3,4,4,3,2,4,3,2,3,2,1,1
2239,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,2,1,2,1,2,1,1,1,1,1,2,2,1,0
2240,3,3,3,3,2,1,1,3,2,3,3,2,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,2,3,3,4,4,3,3,4,3,4,4,4,4,4,4,1
2241,4,2,2,3,3,1,2,3,2,3,3,2,3,3,2,2,3,2,3,2,2,2,3,2,3,2,2,2,2,2,1,2,2,2,2,3,2,3,2,2,2,3,4,3,4,4,3,3,3,3,4,3,3,2,1
2242,2,2,2,3,4,2,1,2,2,2,3,3,3,2,2,3,3,2,3,2,2,2,2,2,2,1,2,2,2,2,4,3,2,2,3,1,3,2,3,3,2,2,3,2,3,2,4,3,3,3,2,4,3,3,1
2243,3,2,2,3,3,3,3,2,2,2,3,3,2,3,2,3,3,2,3,2,2,1,1,2,3,2,2,2,2,2,2,3,2,3,2,2,3,3,3,3,3,3,3,2,3,3,2,3,4,3,3,3,2,2,1
2244,3,2,2,2,3,1,1,2,3,2,2,2,2,2,2,2,3,2,3,2,3,2,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,4,2,3,2,3,3,3,3,4,3,4,3,4,4,4,4,4,0
2245,1,1,1,2,2,2,1,2,2,1,3,1,2,1,2,2,2,2,3,1,1,1,2,2,3,2,1,2,3,2,2,3,2,2,2,2,3,2,3,3,3,2,2,2,2,3,2,2,3,3,3,2,1,2,1
2247,4,3,4,3,3,1,2,3,3,3,4,3,3,3,4,2,4,3,4,3,3,2,3,3,4,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,3,2,1
2248,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,1,2,3,2,2,2,2,2,1,1,2,1,3,2,2,1,2,1,3,2,1,2,2,3,2,0
2249,1,2,2,2,1,2,1,2,1,3,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,3,3,3,4,4,3,3,2,3,3,1,3,2,0
2250,3,3,2,2,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,4,3,2,2,3,3,3,3,2,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,4,4,1
2251,2,2,3,1,1,1,1,1,2,2,1,1,2,2,2,2,1,3,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,3,2,1,3,2,2,3,2,1,2,1,3,2,2,2,3,3,2,0
2252,3,1,2,2,2,2,2,1,2,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,3,2,2,4,4,3,4,2,1,1,2,2,3,1,3,3,3,4,1,4,4,0
2253,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0
2254,4,3,3,4,4,1,1,3,3,4,3,4,4,3,3,4,4,3,4,4,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,1
2255,4,2,4,4,3,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,4,3,2,2,3,2,3,3,3,2,3,2,4,3,4,3,2,2,3,3,4,4,3,4,4,4,4,3,3,3,4,2,0
2256,2,1,2,1,2,3,1,1,1,1,2,2,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,1,1,2,2,1,3,2,2,1,3,1,3,3,3,2,1,1,1,2,1,2,3,3,3,3,2,2,0
2257,3,2,3,1,3,1,1,3,2,2,3,2,3,2,3,1,3,2,3,3,1,1,3,3,3,2,1,2,3,3,2,2,2,2,2,3,3,3,4,3,3,2,1,2,1,3,2,4,3,3,2,1,3,1,0
2258,3,2,2,3,4,2,1,2,2,3,3,3,2,2,3,3,3,3,3,3,2,2,1,2,3,3,2,3,3,3,3,4,3,4,3,3,3,3,3,4,3,3,2,3,2,3,3,3,3,3,2,2,3,3,1
2259,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,1,4,3,4,4,4,4,3,4,1
2260,1,1,2,2,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,2,2,2,2,4,3,2,3,3,2,2,3,2,2,0
2261,1,2,1,2,2,1,1,3,2,2,2,3,2,2,2,2,1,2,1,3,2,1,2,3,2,3,1,2,2,3,1,1,2,2,3,2,2,2,1,1,2,2,2,3,3,2,2,2,2,2,1,2,1,2,0
2262,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,3,3,1,2,3,2,2,2,1,2,1,1,2,0
2263,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,1,1,0
2264,3,4,4,4,4,1,1,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,3,3,4,4,4,4,3,4,4,3,4,4,4,3,4,1
2265,2,2,3,2,2,2,1,1,2,1,2,2,3,2,2,1,1,2,2,2,1,1,3,1,1,1,1,1,2,1,2,2,1,2,2,3,3,3,3,4,1,3,3,3,4,3,1,4,3,3,3,3,3,2,0
2266,4,3,2,4,4,1,1,3,3,2,4,3,4,3,2,3,4,3,4,4,3,3,4,3,4,3,3,3,4,3,3,3,4,3,4,4,4,3,4,4,3,4,3,3,4,4,4,3,4,4,3,3,3,4,1
2267,4,3,4,4,3,2,2,2,2,2,2,1,2,2,3,3,2,2,3,1,2,3,3,2,2,2,2,3,2,2,3,4,2,2,2,3,3,4,2,4,1,2,2,2,4,3,3,2,2,2,3,3,3,1,0
2268,1,2,1,1,1,2,1,2,1,2,1,1,2,2,1,1,1,2,1,2,1,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2,3,3,2,3,2,3,4,3,4,3,3,4,4,3,4,3,2,2,0
2269,4,4,4,4,3,1,2,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,3,3,4,3,3,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,3,3,3,4,1
2270,2,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,0
2271,3,3,3,3,3,1,2,3,3,3,3,2,3,3,3,4,3,3,3,3,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,4,3,2,4,1,2,4,2,3,2,1,3,2,2,2,2,2,3,0
2272,1,2,2,1,2,2,2,3,2,3,2,3,2,2,3,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,2,2,2,3,1,3,3,3,3,3,3,3,1
2273,3,1,2,3,3,2,1,1,2,1,3,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,1,2,1,4,3,3,2,2,2,4,2,2,3,2,3,3,2,2,1,2,3,3,3,3,3,2,2,0
2274,3,2,2,2,2,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,3,1,2,1,1,2,2,2,3,2,2,3,2,3,2,2,2,2,1,1,2,2,3,2,3,2,2,2,4,4,2,0
2275,2,2,1,2,2,2,2,2,1,3,3,2,3,2,2,3,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,4,2,2,3,3,3,2,1,2,2,2,2,1
2276,1,1,2,1,2,2,1,2,3,2,2,2,3,2,2,2,2,3,2,2,2,1,2,2,3,2,2,1,2,1,4,3,3,3,2,2,4,2,4,4,4,3,3,3,4,3,1,2,3,3,3,4,3,4,1
2277,3,2,1,4,3,1,1,2,2,3,2,2,2,1,2,2,3,2,2,2,1,2,2,2,2,2,1,3,2,2,2,3,3,3,4,3,3,4,3,2,3,3,4,3,4,3,4,3,3,3,4,4,2,3,0
2278,2,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,3,2,1,1,1,3,2,2,2,3,3,2,3,3,3,2,0
2279,4,3,3,3,3,1,1,4,3,3,4,3,3,3,4,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,2,3,2,4,3,4,3,4,3,3,2,4,3,4,3,4,3,4,4,3,3,2,3,1
2280,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,3,1,2,1,2,1,1,2,1,1,2,2,1,4,1,2,3,1,1,1,0
2281,3,3,4,4,3,2,2,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,4,3,4,3,4,4,3,4,3,4,4,4,4,3,3,3,3,2,3,2,3,4,1
2282,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
